"","Survey_OTU","Domain","Phylum","Class","Order","Survey_Order_Mean"
"72","OTU4","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6",10.836703491813
"35","OTU2","Bacteria","Acidobacteria","Acidobacteria_Gp4","uncl_Acidobacteria_Gp4",9.31396725192346
"48","OTU25","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",8.79734661668968
"47","OTU24","Bacteria","Acidobacteria","Acidobacteria_Gp7","uncl_Acidobacteria_Gp7",6.46084040244624
"59","OTU32","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria",6.3769974353916
"37","OTU21","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales",6.14396330637207
"1","OTU11","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria",4.75069047149339
"45","OTU23","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",4.6828763069639
"9","OTU13","Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria",4.49916157032945
"90","OTU7","Bacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria",3.74580785164727
"93","OTU71","Bacteria","Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria",3.06396725192346
"27","OTU17","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",2.89258236338528
"101","OTU84","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales",2.8161373051884
"79","OTU52","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales",1.37971000197278
"83","OTU6","Bacteria","Acidobacteria","Acidobacteria_Gp17","uncl_Acidobacteria_Gp17",1.29586703491813
"69","OTU39","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",1.21202406786348
"76","OTU46","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales",1.17873347800355
"64","OTU350","Bacteria","Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia",1.11831722233182
"55","OTU300","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales",1.11215229828369
"57","OTU31","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria",1.03200828565792
"4","OTU116","Bacteria","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3",0.965427105938055
"10","OTU132","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",0.906243835075952
"105","OTU94","Bacteria","Nitrospirae","Nitrospira","Nitrospirales",0.869254290787137
"94","OTU72","Bacteria","Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes",0.851992503452357
"31","OTU186","Bacteria","Firmicutes","Bacilli","Bacillales",0.75581968830144
