"","Exp_OTU","Domain","Phylum","Class","Order","Family","Exp_Family_Mean"
"114","OTU4","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6",11.6556071665561
"59","OTU2","Bacteria","Acidobacteria","Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4",10.8908427339084
"100","OTU32","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria",8.54512276045123
"79","OTU23","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",7.25116124751161
"82","OTU24","Bacteria","Acidobacteria","Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7",5.38487060384871
"136","OTU59","Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria",5.12110152621102
"4","OTU11","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria",4.69807564698076
"108","OTU37","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae",4.64830789648308
"125","OTU49","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",2.99270072992701
"150","OTU7","Bacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria",2.54313205043132
"18","OTU127","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",2.45023224950232
"89","OTU26","Bacteria","Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria",2.40378234903782
"28","OTU14","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Arenimicrobiaceae",1.61745189117452
"137","OTU6","Bacteria","Acidobacteria","Acidobacteria_Gp17","uncl_Acidobacteria_Gp17","uncl_Acidobacteria_Gp17",1.50630391506304
"42","OTU17","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",1.38520238885202
"20","OTU128","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",1.23092236230922
"131","OTU52","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",1.1579296615793
"120","OTU46","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",1.03516921035169
"9","OTU116","Bacteria","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3",1.00696748506967
"92","OTU274","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",0.982083609820836
"65","OTU21","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","uncl_Blastocatellales",0.90743198407432
"127","OTU491","Bacteria","Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia",0.905773059057731
"173","OTU94","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae",0.867617783676178
"88","OTU259","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",0.680159256801593
"152","OTU72","Bacteria","Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes",0.6635700066357
"163","OTU818","Bacteria","Acidobacteria","Blastocatellia","uncl_Blastocatellia","uncl_Blastocatellia",0.656934306569343
"129","OTU511","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","uncl_Burkholderiales",0.592236230922362
"112","OTU39","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Patulibacteraceae",0.562375580623756
"14","OTU122","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","uncl_Chromatiales",0.550763105507631
"1","OTU103","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","uncl_Xanthomonadales",0.522561380225614
"109","OTU370","Bacteria","Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria",0.48772395487724
"94","OTU290","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",0.461181154611812
"104","OTU337","Bacteria","Actinobacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria",0.456204379562044
"176","OTU974","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","uncl_Myxococcales",0.456204379562044
"22","OTU132","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae",0.432979429329794
"24","OTU137","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",0.414731254147313
"47","OTU177","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","uncl_Solirubrobacterales",0.411413404114134
"96","OTU300","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae",0.396483078964831
"52","OTU186","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",0.383211678832117
"85","OTU250","Bacteria","Actinobacteria","Thermoleophilia","uncl_Thermoleophilia","uncl_Thermoleophilia",0.374917053749171
"5","OTU111","Bacteria","Bacteroidetes","Cytophagia","uncl_Cytophagia","uncl_Cytophagia",0.368281353682814
"68","OTU215","Bacteria","Verrucomicrobia","Subdivision3","uncl_Subdivision3","uncl_Subdivision3",0.338420703384207
"29","OTU142","Bacteria","Proteobacteria","Deltaproteobacteria","uncl_Deltaproteobacteria","uncl_Deltaproteobacteria",0.326808228268082
"154","OTU743","Bacteria","Planctomycetes","Planctomycetacia","uncl_Planctomycetacia","uncl_Planctomycetacia",0.308560053085601
"84","OTU245","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae",0.293629727936297
"111","OTU387","Bacteria","Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes",0.28865295288653
"83","OTU241","Bacteria","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria",0.282017252820173
"74","OTU221","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","uncl_Pirellulales",0.272063702720637
"43","OTU170","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae",0.267086927670869
"134","OTU545","Bacteria","Proteobacteria","Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria",0.257133377571334
"95","OTU292","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","uncl_Cytophagales",0.233908427339084
"105","OTU348","Bacteria","Firmicutes","Bacilli","uncl_Bacilli","uncl_Bacilli",0.225613802256138
"90","OTU271","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae",0.22063702720637
