"","Exp_OTU","Domain","Phylum","Class","Order","Exp_Order_Mean"
"64","OTU4","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6",11.6556071665561
"30","OTU2","Bacteria","Acidobacteria","Acidobacteria_Gp4","uncl_Acidobacteria_Gp4",10.8908427339084
"40","OTU23","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",9.03948241539482
"53","OTU32","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria",8.54512276045123
"16","OTU14","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales",7.18148639681486
"41","OTU24","Bacteria","Acidobacteria","Acidobacteria_Gp7","uncl_Acidobacteria_Gp7",5.38487060384871
"77","OTU59","Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria",5.12110152621102
"1","OTU11","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria",4.69807564698076
"72","OTU49","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",4.22362309223623
"85","OTU7","Bacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria",2.54313205043132
"10","OTU127","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales",2.48838752488387
"47","OTU26","Bacteria","Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria",2.40378234903782
"25","OTU17","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",2.10185799601858
"78","OTU6","Bacteria","Acidobacteria","Acidobacteria_Gp17","uncl_Acidobacteria_Gp17",1.50630391506304
"63","OTU39","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales",1.30225613802256
"69","OTU46","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales",1.28234903782349
"74","OTU52","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales",1.27073656270737
"8","OTU122","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",1.02023888520239
"6","OTU116","Bacteria","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3",1.00696748506967
"73","OTU491","Bacteria","Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia",0.905773059057731
"97","OTU94","Bacteria","Nitrospirae","Nitrospira","Nitrospirales",0.882548108825481
"52","OTU312","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales",0.837757133377571
"46","OTU259","Bacteria","Firmicutes","Bacilli","Lactobacillales",0.763105507631055
"86","OTU72","Bacteria","Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes",0.6635700066357
"92","OTU818","Bacteria","Acidobacteria","Blastocatellia","uncl_Blastocatellia",0.656934306569343
"100","OTU974","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",0.554080955540809
"28","OTU186","Bacteria","Firmicutes","Bacilli","Bacillales",0.525879230258792
"49","OTU290","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",0.522561380225614
"61","OTU370","Bacteria","Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria",0.48772395487724
"57","OTU337","Bacteria","Actinobacteria","Actinobacteria","uncl_Actinobacteria",0.456204379562044
"84","OTU695","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales",0.446250829462508
"75","OTU521","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",0.429661579296616
