"","Exp_OTU","Domain","Phylum","Exp_Phylum_Mean"
"4","OTU2","Bacteria","Acidobacteria",40.8626410086264
"10","OTU32","Bacteria","Proteobacteria",34.6881220968812
"16","OTU59","Bacteria","Verrucomicrobia",6.61413404114134
"14","OTU46","Bacteria","Bacteroidetes",5.80955540809555
"19","OTU7","Bacteria","Actinobacteria",5.71997345719973
"9","OTU259","Bacteria","Firmicutes",1.8364299933643
"6","OTU221","Bacteria","Planctomycetes",1.63901791639018
"20","OTU94","Bacteria","Nitrospirae",0.887524883875249
"15","OTU483","Bacteria","Cyanobacteria",0.462840079628401
"13","OTU387","Bacteria","Armatimonadetes",0.416390179163902
"11","OTU321","Bacteria","Chloroflexi",0.303583278035833
"8","OTU241","Bacteria","Candidatus_Saccharibacteria",0.282017252820173
"18","OTU676","Bacteria","Deinococcus-Thermus",0.192435301924353
"12","OTU329","Bacteria","candidate_division_WPS-1",0.142667551426676
"17","OTU631","Bacteria","Abditibacteriota",0.06635700066357
"3","OTU1395","Bacteria","Spirochaetes",0.0282017252820173
"5","OTU2126","Bacteria","Campilobacterota",0.0165892501658925
"1","OTU1143","Bacteria","Chlamydiae",0.0149303251493033
"7","OTU2271","Bacteria","Poribacteria",0.0116124751161248
"2","OTU1226","Bacteria","Deferribacteres",0.00497677504976775
