"","Survey_OTU","Domain","Phylum","Class","Survey_Class_Mean"
"23","OTU25","Bacteria","Proteobacteria","Gammaproteobacteria",19.6796705464589
"39","OTU4","Bacteria","Acidobacteria","Acidobacteria_Gp6",10.836703491813
"1","OTU11","Bacteria","Proteobacteria","Betaproteobacteria",9.75907476819886
"17","OTU2","Bacteria","Acidobacteria","Acidobacteria_Gp4",9.31396725192346
"22","OTU24","Bacteria","Acidobacteria","Acidobacteria_Gp7",6.46084040244624
"19","OTU21","Bacteria","Acidobacteria","Blastocatellia",6.40289011639377
"5","OTU13","Bacteria","Verrucomicrobia","Spartobacteria",4.49916157032945
"52","OTU7","Bacteria","Actinobacteria","uncl_Actinobacteria",3.74580785164727
"54","OTU71","Bacteria","Acidobacteria","uncl_Acidobacteria",3.06396725192346
"58","OTU84","Bacteria","Bacteroidetes","Chitinophagia",2.81983625961728
"44","OTU52","Bacteria","Proteobacteria","Alphaproteobacteria",2.46350364963504
"28","OTU300","Bacteria","Planctomycetes","Planctomycetacia",2.06401657131584
"24","OTU250","Bacteria","Actinobacteria","Thermoleophilia",1.92099033339909
"15","OTU186","Bacteria","Firmicutes","Bacilli",1.32545867034918
"46","OTU6","Bacteria","Acidobacteria","Acidobacteria_Gp17",1.29586703491813
"7","OTU142","Bacteria","Proteobacteria","Deltaproteobacteria",1.18613138686131
"43","OTU46","Bacteria","Bacteroidetes","Flavobacteriia",1.17873347800355
"35","OTU350","Bacteria","Verrucomicrobia","uncl_Verrucomicrobia",1.11831722233182
"30","OTU31","Bacteria","Cyanobacteria","Cyanobacteria",1.03200828565792
"2","OTU116","Bacteria","Acidobacteria","Acidobacteria_Gp3",0.965427105938055
"61","OTU94","Bacteria","Nitrospirae","Nitrospira",0.869254290787137
"55","OTU72","Bacteria","Bacteroidetes","uncl_Bacteroidetes",0.851992503452357
"3","OTU120","Bacteria","Actinobacteria","Actinobacteria",0.774314460445847
"27","OTU292","Bacteria","Bacteroidetes","Cytophagia",0.749654764253304
"40","OTU423","Bacteria","Proteobacteria","uncl_Proteobacteria",0.618958374432827
"20","OTU215","Bacteria","Verrucomicrobia","Subdivision3",0.51415466561452
"42","OTU44","Bacteria","Cyanobacteria","uncl_Cyanobacteria",0.512921680804892
"25","OTU273","Bacteria","Bacteroidetes","Sphingobacteriia",0.48826198461235
"47","OTU620","Bacteria","Armatimonadetes","uncl_Armatimonadetes",0.415515880844348
"31","OTU316","Bacteria","Actinobacteria","Rubrobacteria",0.315644111264549
"29","OTU303","Bacteria","Actinobacteria","Acidimicrobiia",0.308246202406786
"12","OTU158","Bacteria","Verrucomicrobia","Verrucomicrobiae",0.303314263168278
"33","OTU325","Bacteria","Chloroflexi","uncl_Chloroflexi",0.270023673308345
"32","OTU321","Bacteria","Chloroflexi","Caldilineae",0.265091734069836
"38","OTU390","Bacteria","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria",0.239199053067666
"45","OTU575","Bacteria","Planctomycetes","uncl_Planctomycetes",0.202209508778852
"36","OTU354","Bacteria","Firmicutes","uncl_Firmicutes",0.200976523969225
"34","OTU329","Bacteria","candidate_division_WPS-1","uncl_candidate_division_WPS-1",0.128230420201223
"62","OTU946","Bacteria","Acidobacteria","Acidobacteria_Gp1",0.0998717695797988
"37","OTU359","Bacteria","Verrucomicrobia","Opitutae",0.0924738607220359
"26","OTU281","Bacteria","Armatimonadetes","Armatimonadia",0.0912408759124088
"64","OTU996","Bacteria","Armatimonadetes","Chthonomonadetes",0.0702801341487473
"63","OTU973","Bacteria","Acidobacteria","Acidobacteria_Gp2",0.0616492404813573
"51","OTU682","Bacteria","Firmicutes","Clostridia",0.0554843164332215
"56","OTU741","Bacteria","Proteobacteria","Oligoflexia",0.0542513316235944
"53","OTU705","Bacteria","Deinococcus-Thermus","Deinococci",0.050552377194713
"11","OTU1568","Bacteria","Firmicutes","Erysipelotrichia",0.0394555139080687
"41","OTU431","Bacteria","Acidobacteria","Vicinamibacteria",0.0345235746695601
"49","OTU662","Bacteria","Bacteroidetes","Bacteroidia",0.0295916354310515
"50","OTU676","Bacteria","Deinococcus-Thermus","uncl_Deinococcus-Thermus",0.0258926810021701
"10","OTU1531","Bacteria","Rhodothermaeota","Rhodothermia",0.0209607417636615
"57","OTU833","Bacteria","Chlamydiae","Chlamydiia",0.0184947721444072
"4","OTU1226","Bacteria","Deferribacteres","Deferribacteres",0.0160288025251529
"14","OTU1636","Bacteria","Firmicutes","Negativicutes",0.0160288025251529
"48","OTU631","Bacteria","Abditibacteriota","uncl_Abditibacteriota",0.0135628329058986
"13","OTU1627","Bacteria","Chlamydiae","uncl_Chlamydiae",0.00986387847701716
"18","OTU2029","Bacteria","Balneolaeota","Balneolia",0.00986387847701716
"21","OTU2271","Bacteria","Poribacteria","uncl_Poribacteria",0.00986387847701716
"6","OTU1395","Bacteria","Spirochaetes","Spirochaetia",0.00493193923850858
"9","OTU1458","Bacteria","Chloroflexi","Anaerolineae",0.00493193923850858
"59","OTU934","Bacteria","Nitrospirae","uncl_Nitrospirae",0.00369895442888144
"16","OTU1989","Bacteria","Actinobacteria","Nitriliruptoria",0.00246596961925429
"60","OTU937","Bacteria","Abditibacteriota","Abditibacteria",0.00246596961925429
"8","OTU1428","Bacteria","Planctomycetes","Phycisphaerae",0.00123298480962715
