"","Survey_OTU","Domain","Phylum","Class","Order","Family","Survey_Family_Mean"
"126","OTU4","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6",10.836703491813
"69","OTU2","Bacteria","Acidobacteria","Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4",9.31396725192346
"94","OTU25","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",6.79744525547445
"93","OTU24","Bacteria","Acidobacteria","Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7",6.46084040244624
"111","OTU32","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria",6.3769974353916
"5","OTU11","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria",4.75069047149339
"22","OTU13","Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria",4.49916157032945
"127","OTU40","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae",4.35366936279345
"90","OTU23","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",3.88020319589663
"161","OTU7","Bacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria",3.74580785164727
"165","OTU71","Bacteria","Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria",3.06396725192346
"178","OTU84","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",2.75325507989742
"138","OTU49","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",1.99990136121523
"50","OTU17","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",1.86550601696587
"77","OTU21","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","uncl_Blastocatellales",1.33655553363583
"149","OTU6","Bacteria","Acidobacteria","Acidobacteria_Gp17","uncl_Acidobacteria_Gp17","uncl_Acidobacteria_Gp17",1.29586703491813
"141","OTU52","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",1.20955809824423
"116","OTU350","Bacteria","Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia","uncl_Verrucomicrobia",1.11831722233182
"134","OTU46","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",1.05173604261196
"8","OTU116","Bacteria","Acidobacteria","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3",0.965427105938055
"166","OTU72","Bacteria","Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes","uncl_Bacteroidetes",0.851992503452357
"187","OTU94","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae",0.851992503452357
"23","OTU132","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae",0.823633852830933
"1","OTU103","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","uncl_Xanthomonadales",0.745955809824423
"109","OTU31","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria",0.637453146577234
"130","OTU423","Bacteria","Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria","uncl_Proteobacteria",0.618958374432827
"61","OTU186","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",0.60909449595581
"107","OTU300","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae",0.586900769382521
"122","OTU386","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","uncl_Myxococcales",0.563474057999605
