"","Survey_OTU","Domain","Phylum","Class","Order","Family","Genus","Survey_Genus_Mean"
"195","OTU4","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","Gp6",10.8293055829552
"117","OTU2","Bacteria","Acidobacteria","Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","Gp4",9.24861905701322
"156","OTU25","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",6.79744525547445
"178","OTU32","Bacteria","Proteobacteria","Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria","uncl_Gammaproteobacteria",6.3769974353916
"154","OTU24","Bacteria","Acidobacteria","Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","uncl_Acidobacteria_Gp7","Gp7",6.21177747090156
"11","OTU11","Bacteria","Proteobacteria","Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria","uncl_Betaproteobacteria",4.75069047149339
"37","OTU13","Bacteria","Verrucomicrobia","Spartobacteria","uncl_Spartobacteria","uncl_Spartobacteria","Spartobacteria_genera_incertae_sedis",4.33887354507792
"251","OTU7","Bacteria","Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria","uncl_Actinobacteria",3.74580785164727
"256","OTU71","Bacteria","Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria","uncl_Acidobacteria",3.06396725192346
"275","OTU84","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","uncl_Chitinophagaceae",2.51159005721049
"210","OTU45","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncl_Comamonadaceae",2.0849773130795
"215","OTU49","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",1.85810810810811
"149","OTU23","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium",1.67685934109292
"249","OTU69","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter",1.56958966265536
"189","OTU37","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","uncl_Blastocatellaceae",1.5671236930361
"83","OTU17","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","uncl_Xanthomonadaceae",1.48944565002959
"127","OTU21","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","uncl_Blastocatellales","uncl_Blastocatellales",1.33655553363583
"230","OTU6","Bacteria","Acidobacteria","Acidobacteria_Gp17","uncl_Acidobacteria_Gp17","uncl_Acidobacteria_Gp17","Gp17",1.26750838429671
"196","OTU40","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae","Aridibacter",1.13311304004735
