sites	depth
AL001	0
AL003	5
AL005	10
AL007	15
AL009	20
AL015	0
AL018	5
AL021	10
AL024	15
AL027	20
AL036	0
AL038	5
AL040	10
AL042	15
AL044	20
AL046	25
AL050	0
AL052	5
AL054	10
AL056	15
AL060	25
AL064	0
AL066	5
AL068	10
AL070	15
AL076	30
AL078	0
AL081	5
AL084	10
AL087	15
AL090	20
AL093	25
AL101	5
AL103	10
AL105	15
AL113	0
AL115	5
AL117	10
AL119	15
AL121	20
AL163	10
AL167	20
AL169	25
AL171	30
AL173	0
AL176	5
AL182	15
AL188	25
AL191	30
AL196	5
AL198	10
AL202	20
AL204	25
AL210	5
AL212	10
AL214	15
AL216	20
AL218	25
AL224	5
AL226	10
AL230	20
AL232	25
AL234	30
AL236	0
AL239	5
AL242	10
AL248	20
AL259	5
AL261	10
AL263	15
AL265	20
AL277	15
AL279	20
AL283	30
